state_name,hispanic,white,black,aian,asian,nhpi,other,state,state_weight,pec
Alabama,0.054558986672826874,0.6552837068546743,0.26616719642140224,0.004776987479081696,0.015686635902803937,5.397072232951853e-4,0.002986779445915737,AL,0.015279240516726533,-0.8744746321952062
Alaska,0.07530492873660505,0.6374529570908212,0.03133322249595696,0.1644997959584662,0.06566963408551607,0.018824720765382465,0.0069147408672520895,AK,0.002230301597861621,-1.61441470559115
Arizona,0.31842565401177286,0.5543550286128789,0.04606776628976121,0.038335941546585726,0.0361436770606894,0.002080421667759434,0.004591510810552501,AZ,0.021748298435228384,-0.6726727939963124
Arkansas,0.08966972458487338,0.7204209516448137,0.15706227588852964,0.007174010872210161,0.017878295623430938,0.004985394678824326,0.002809346707317882,AR,0.014164617345387591,-1.0762764703941
California,0.41095874728746,0.36176221991896124,0.05590234747886872,0.004117196973999367,0.15770815057284523,0.0036445574802612076,0.005906780287604219,CA,0.12023894748300579,0.807207352795575
Colorado,0.22916910034544333,0.6821549611856955,0.04014390932131017,0.006125252044471565,0.03541138664184254,0.0016334368236338083,0.00536195363760304,CO,0.01755833322170031,0.8744746321952062
Connecticut,0.17970749990990018,0.6571469348037625,0.10406516019749883,0.0018463978087721194,0.04914664648430461,2.8082315205247416e-4,0.00780653764370923,CT,0.010804426348456847,1.3453455879926248
Delaware,0.11013543839269213,0.6123515589935845,0.22489637510890514,0.0026623016606383823,0.0447744013517438,3.2103915304802387e-4,0.004858885339388019,DE,0.003010512272716622,0.6054055145966812
District of Columbia,0.11764385055904009,0.39658667393873287,0.42733387873829654,0.0019346726055207103,0.050286337605672214,5.287398115322849e-4,0.005685846741205345,DC,0.0020969623506390065,-1.6816819849907811
Florida,0.27461813924621004,0.5350660106572608,0.1507300379773609,0.0020326284857006957,0.030349207781493186,5.553347905750128e-4,0.006648641061399465,FL,0.06549937602335235,-0.4036036763977875
Georgia,0.1088433917615914,0.5194994078053435,0.3175925652322396,0.00197398218814109,0.04608509679778914,5.910805069864437e-4,0.005414475707908766,GA,0.032575782261504004,-0.6054055145966812
Hawaii,0.11941315871584632,0.2702167217790217,0.01880467361939038,0.0019950471943413206,0.4569079261222248,0.12812139789114657,0.0045410746780289515,HI,0.0043057817507544125,1.61441470559115
Idaho,0.13592645878210274,0.8235534248037527,0.008394377328538385,0.010732425745103896,0.014782279886765328,0.0019309622789556338,0.004680071174781326,ID,0.0017542507435025438,-1.2108110291933625
Illinois,0.18853649154400434,0.6027552956999199,0.14322162428646776,0.0013358173518810375,0.060275924806090314,2.3867420712613913e-4,0.0036361721045104264,IL,0.038963877474655136,0.20180183819889375
Indiana,0.08499622096554331,0.7854078964642716,0.09777331437272323,0.0019842998295753617,0.025559248021221486,4.2345430742445306e-4,0.0038555660392406103,IN,0.020635341776398634,-0.4708709557974187
Iowa,0.07008673146215591,0.8560873622836256,0.04196423008629015,0.0029461050019210203,0.024342764503701857,0.00181880367174439,0.002754002990561042,IA,0.009702171254444331,0.4036036763977875
Kansas,0.13718999374295185,0.7610919176507922,0.058573142024235754,0.007860215034485479,0.030559136276357143,0.0011169458433658258,0.0036086494278117724,KS,0.08863384793648119,-0.9417419115948374
Kentucky,0.04799799005789899,0.8462733747560601,0.0826154556326757,0.0018658469871535974,0.017051947904997908,7.994507759314052e-4,0.0033959338852822775,KY,0.013702613245189014,-0.269069117598525
Louisiana,0.07165110833534555,0.5768319737981159,0.3226409096553472,0.005774313081327092,0.01895655847919246,3.789712286198361e-4,0.0037661654220519938,LA,0.005592870720307305,-1.143543749793731
Maine,0.020331054885978302,0.9384758088793738,0.019189539007905036,0.005572339557421916,0.012735466302359591,3.109752090868943e-4,0.0033848161578745495,ME,0.0041430443713669244,1.2780783085929937
Maryland,0.12355031609458118,0.4933212110130264,0.30390910968668206,0.0020409856326801504,0.0707635368731863,4.3596333506025606e-4,0.005978877364783644,MD,0.018785439905247208,1.143543749793731
Massachusetts,0.13245789574759248,0.7086172501980486,0.06820048050932018,0.001400702126748397,0.07533977882127044,2.3979208668207882e-4,0.013744100510337844,MA,0.02096066144003133,1.6816819849907811
Michigan,0.058562082985794475,0.7569664529330793,0.14094796115090552,0.0049186497089492845,0.03447682307065223,2.700764711723197e-4,0.0038579536794469313,MI,0.030370843281026787,0.4708709557974187
Minnesota,0.0631829864398972,0.795889193961751,0.07181297368045832,0.010428007882335307,0.05437568321493988,4.7911875783754934e-4,0.0038320360627808266,MN,0.017353911742014498,1.0090091909944687
Mississippi,0.03656223276333269,0.5695525070426255,0.37493523772922194,0.004871373703755569,0.011225460268194853,3.603405757040106e-4,0.0024928479171654506,MS,0.002230301597861621,-1.5471474261915186
Missouri,0.05183242966181541,0.7976481566075881,0.11848218758342849,0.004018420840649672,0.022602420048458433,0.0015893422230233828,0.0038270430350365045,MO,0.018717590342122094,-0.3363363969981562
Montana,0.043904860336714986,0.8755114252299228,0.004931635123111175,0.06274259914752749,0.007845738997315138,8.149777168190419e-4,0.004248763448589379,MT,0.003297216287003135,0
Nebraska,0.12426212497419092,0.7860186248921313,0.04997961744323325,0.007968256153149767,0.02771974778571315,6.977716835991889e-4,0.0033538570679824443,NE,0.005965092979613823,0.1345345587992625
Nevada,0.30304630197913807,0.4853985763658762,0.09938410855048502,0.007962710875506733,0.09054417871438575,0.007819060739158244,0.005845062775449987,NV,0.009441383334324472,-0.7399400733959437
New Hampshire,0.04493996439815112,0.9075440393358857,0.01410090214026826,0.0017377632817194711,0.026912276590839515,2.9328062344808817e-4,0.00447177362968786,NH,0.004189174532410574,1.5471474261915186
New Jersey,0.22252012690005904,0.5351818090803258,0.12824479697423963,0.0012451771054977025,0.10477455305131173,2.1601144860677616e-4,0.007817525439959429,NJ,0.02824858521679024,0.53813823519705
New Mexico,0.4912202861856732,0.3756287799082009,0.018627096034270357,0.09165814200427165,0.017135664838622673,7.05137394879371e-4,0.005024893634081803,NM,0.012040714056210402,-1.3453455879926248
New York,0.20266686488297314,0.5440805071681786,0.1416306501272407,0.002818627664870571,0.09837214858297072,3.12981220818749e-4,0.010118220352947542,NY,0.06147774073757745,1.0762764703941
North Carolina,0.11149684501474452,0.6291678025543893,0.21006914005283808,0.010055883184060659,0.033895620598383164,6.95736421552479e-4,0.004618972174031788,NC,0.03174702680711576,0.269069117598525
North Dakota,0.04461798554041819,0.8495204621510964,0.034923068294415674,0.049876743682946825,0.017426814057897085,0.001160452215809392,0.0024744740574163446,ND,0.0023692881329119143,-0.20180183819889375
Ohio,0.046142083572094816,0.7925495973317486,0.12897811148032473,0.0016772164279228875,0.026253053004783374,3.976850182414657e-4,0.004002253164884121,OH,0.03588307973275526,-0.06726727939963124
Oklahoma,0.13161570181784513,0.6713348731647104,0.0789926803161693,0.08698225215119947,0.025003109596689492,0.002277953879800562,0.0037934290735856077,OK,0.005454836043679232,-1.4126128673922562
Oregon,0.1479820267126061,0.7631277662256122,0.019770415056059074,0.010567110653548723,0.048207509681239824,0.004573752736849487,0.005771418934084625,OR,0.012885839650812107,0.9417419115948374
Pennsylvania,0.08362523269288762,0.7611426281419267,0.1090696148601572,0.001197315203106582,0.04036787884075222,2.519237870789867e-4,0.00434540647409077,PA,0.03893188834128984,0.7399400733959437
Rhode Island,0.17423782135985127,0.7214898830670664,0.05299441504350181,0.0033613075515079955,0.03671030083367699,3.0618229902720144e-4,0.01090008984536837,RI,0.0033372186693861636,1.4798801467918874
South Carolina,0.07158634527967506,0.6448877982569953,0.25747025925952227,0.003366103011963249,0.01813690631375099,6.259072865955411e-4,0.003926680591497603,SC,0.015565546149373074,-0.807207352795575
South Dakota,0.04545811894606534,0.8279207026231028,0.020465012584557078,0.0875286746026624,0.01564357248880884,5.784789406677736e-4,0.0024054398141357724,SD,0.00269642636311486,0.06726727939963124
Tennessee,0.07216001163747285,0.7379202866239688,0.16320350955340446,0.0023399934072391164,0.020224325540834535,5.412147696516754e-4,0.003610658467428554,TN,0.02101642574638359,-0.53813823519705
Texas,0.4048816659654253,0.40993768093530614,0.12189610469574559,0.003022886889712135,0.055256567635346955,9.857601414891535e-4,0.004019333736974693,TX,0.009158289083447466,-1.0090091909944687
Utah,0.15642219827339993,0.7823632790930589,0.011802622776853252,0.009104572151750909,0.024948876034379678,0.011370718883561757,0.0039877327869955355,UT,0.00994924998041924,-0.1345345587992625
Vermont,0.025270240315030446,0.9342703185510686,0.014097156120014083,0.003237016077505835,0.018673964350445292,2.770859683665619e-4,0.004174218617569206,VT,0.0019569448890547425,1.4126128673922562
Virginia,0.11046628310056679,0.6148876743561009,0.19183045780317057,0.0023193386529820822,0.07422515794416643,7.530557104415094e-4,0.005518032432571732,VA,0.026248767164679703,0.3363363969981562
Washington,0.14723219519368955,0.6837233553238339,0.0411680740800151,0.012675685732621999,0.10050670216579627,0.00868620369807929,0.006007783805963915,WA,0.023711599184035332,1.2108110291933625
West Virginia,0.020229660991844124,0.9287010021602237,0.037610196673871284,0.0018512053745946314,0.008656577878124816,2.4918955309102505e-4,0.002702167368250463,WV,0.009005489957490702,-1.4798801467918874
Wisconsin,0.07861022866193366,0.8144184189307083,0.06441297074924095,0.008503381035969948,0.030627039992463936,3.3251481729611323e-4,0.003095445812387126,WI,0.01792327513256339,0.6726727939963124
Wyoming,0.1067397957615736,0.8490302380612353,0.008559647273838211,0.02129698089399957,0.009105584650121028,8.839846920605882e-4,0.004383768667171628,WY,0.0064395563895754595,-1.2780783085929937
